DATAFLOW,FREQ,REF_AREA,MEASURE,ACTIVITY,SIZE_CLASS,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,DECIMALS
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPE,H4922,S10T49,PS,2011,45799,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPE,H4922,S10T19,PS,2011,8768,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPE,H4923,S10T19,PS,2011,14330,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPE,H492,S10T19,PS,2011,24577,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPE,H4921,S_GE10,PS,2011,127358,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPE,H492,S_GE10,PS,2011,503435,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPE,H4921,S1T9,PS,2011,275,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPE,H4922,S1T9,PS,2011,1806,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPE,H4923,S1T9,PS,2011,7923,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPE,H4921,S_GE250,PS,2011,73036,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPE,H4923,S20T49,PS,2011,47130,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPE,H4923,_T,PS,2011,213297,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPE,H4923,S1T19,PS,2011,22253,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPF,H4923,_T,PS,2011,11731,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPF,H4922,_T,PS,2011,6794,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPF,H492,_T,PS,2011,25062,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPN,H4921,S1T9,PS,2011,375,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPN,H4922,S1T9,PS,2011,166406,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPN,H4923,S_GE10,PS,2011,208466,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPN,H4921,S_GE10,PS,2011,129949,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPN,H4921,S_GE250,PS,2011,75062,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPN,H4922,S_GE250,PS,2011,11804,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPN,H4923,S10T19,PS,2011,14537,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPN,H4923,S1T249,PS,2011,321585,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPN,H4922,S10T49,PS,2011,47342,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPN,H4922,S50T249,PS,2011,114898,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPN,H4923,S50T249,PS,2011,97238,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPN,H492,S50T249,PS,2011,258818,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPN,H4921,S50T249,PS,2011,46682,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPN,H4921,S20T49,PS,2011,6665,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPN,H4922,S20T49,PS,2011,38403,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPN,H492,S_GE20,PS,2011,487443,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPN,H492,S1T19,PS,2011,354076,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPN,H4922,_T,PS,2011,340450,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPN,H4923,_T,PS,2011,370745,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,EMPN,H4921,_T,PS,2011,130324,A,0,0
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,GFEQ,H4921,_T,XDC,2011,704522,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,GFBS,H4922,_T,XDC,2011,58901,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,GFBS,H4921,_T,XDC,2011,937346,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,GFLA,H4922,_T,XDC,2011,44503,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,GITG,H4923,S1T249,XDC,2011,683061,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,GITG,H4922,S1T249,XDC,2011,873503,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,GITG,H4923,S1T9,XDC,2011,332072,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,GITG,H4921,S20T49,XDC,2011,25162,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,GITG,H492,S_GE250,XDC,2011,2344039,A,6,1
OECD.SDD.TPS:DSD_SDBSBSC_ISIC4@DF_SDBS_ISIC4(1.0),A,KOR,GITG,H4923,S50T249,XDC,2011,159016,A,6,1
