tech,country,year,coef,value,unit,provenance
PIPE.T,CH,Y21,intensity_total,1.5759,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,CH,Y21,fuel_envelope,1453.9,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,CH,Y22,intensity_electricity,0.3409,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,CH,Y22,intensity_liquid,0.0127,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,CH,Y22,intensity_liquid,48.4394,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
PIPE.T,CH,Y22,intensity_total,4.0913,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,CH,Y22,fuel_envelope,1882.7,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
TRN.P+TRN.F,CH,Y23,intensity_electricity,0.3181,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
TRN.P+TRN.F,CH,Y23,intensity_liquid,0.0118,MJ/traffic-unit,derived: UNSD.USE 1222 / (ITF rail pkm+tkm)
BARGE+SHIP.DOM,CH,Y23,intensity_liquid,42.101,MJ/tkm,derived: UNSD.USE 1224 / (ITF iww+coastal tkm)
PIPE.T,CH,Y23,intensity_total,1.7942,MJ/tkm,derived: UNSD.USE 1226 / ITF pipeline tkm
AIR.DOM,CH,Y23,fuel_envelope,1578.4,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,CI,Y21,fuel_envelope,551.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,CI,Y22,fuel_envelope,470.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,CI,Y23,fuel_envelope,375.2,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,CK,Y21,fuel_envelope,81.1,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,CK,Y22,fuel_envelope,83.8,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
AIR.DOM,CK,Y23,fuel_envelope,88.2,TJ,observed: UNSD.USE 1223 (intensity = literature default in v0)
