region,sector,extracted_t,cell_share,weight
LT,Sugar refining,2966.0,0.334,0.8
LT,"Sale, maintenance, repair of motor vehicles, motor vehi",2690.0,0.417,1.0
LT,Cultivation of wheat,2312.0,0.083,0.2
LT,Paper,1674.0,0.167,0.4
LU,"Wholesale trade and commission trade, except of motor v",13745.0,0.555,1.0
LU,"Retail trade, except of motor vehicles and motorcycles;",10337.0,0.555,1.0
LU,Construction (45),7046.0,0.333,0.6
LU,"Sale, maintenance, repair of motor vehicles, motor vehi",4693.0,0.555,1.0
LU,Manufacture of machinery and equipment n.e.c. (29),1342.0,0.166,0.3
LU,Manufacture of beverages,768.0,0.444,0.8
LU,Retail sale of automotive fuel,716.0,0.555,1.0
LU,"Manure treatment (conventional), storage and land appli",686.0,0.388,0.7
LV,"Wholesale trade and commission trade, except of motor v",8356.0,0.231,1.0
LV,Construction (45),7154.0,0.139,0.6
LV,"Retail trade, except of motor vehicles and motorcycles;",4617.0,0.231,1.0
LV,"Manufacture of cement, lime and plaster",2449.0,0.115,0.5
LV,Manufacture of beverages,1952.0,0.185,0.8
LV,"Sale, maintenance, repair of motor vehicles, motor vehi",1553.0,0.231,1.0
LV,Processing of Food products nec,1198.0,0.185,0.8
LV,"Manure treatment (conventional), storage and land appli",1136.0,0.162,0.7
MT,"Wholesale trade and commission trade, except of motor v",2516.0,0.513,1.0
MT,"Retail trade, except of motor vehicles and motorcycles;",1761.0,0.513,1.0
MT,Construction (45),985.0,0.308,0.6
MT,"Sale, maintenance, repair of motor vehicles, motor vehi",372.0,0.513,1.0
MT,Manufacture of beverages,92.0,0.41,0.8
MT,"Waste water treatment, other",53.0,0.359,0.7
MT,"Manure treatment (conventional), storage and land appli",48.0,0.359,0.7
MT,Hotels and restaurants (55),45.0,0.154,0.3
MX,"Wholesale trade and commission trade, except of motor v",379658.0,0.255,1.0
MX,"Retail trade, except of motor vehicles and motorcycles;",281078.0,0.255,1.0
MX,Construction (45),164504.0,0.153,0.6
MX,Manufacture of beverages,74194.0,0.204,0.8
MX,"Sale, maintenance, repair of motor vehicles, motor vehi",67692.0,0.255,1.0
MX,Processing of Food products nec,65486.0,0.204,0.8
MX,Sugar refining,52430.0,0.204,0.8
MX,"Manufacture of cement, lime and plaster",37790.0,0.127,0.5
NL,"Wholesale trade and commission trade, except of motor v",108393.0,0.225,1.0
NL,Construction (45),75799.0,0.135,0.6
NL,"Retail trade, except of motor vehicles and motorcycles;",30330.0,0.225,1.0
NL,"Sale, maintenance, repair of motor vehicles, motor vehi",13646.0,0.225,1.0
NL,Processing of Food products nec,6235.0,0.18,0.8
NL,Manufacture of beverages,4897.0,0.18,0.8
NL,Manufacture of machinery and equipment n.e.c. (29),3669.0,0.068,0.3
NL,"Waste water treatment, other",3576.0,0.158,0.7
NO,Construction (45),26893.0,0.129,0.6
NO,"Retail trade, except of motor vehicles and motorcycles;",16375.0,0.214,1.0
NO,"Wholesale trade and commission trade, except of motor v",15093.0,0.214,1.0
NO,Extraction of crude petroleum and services related to c,13459.0,0.021,0.1
NO,"Sale, maintenance, repair of motor vehicles, motor vehi",7330.0,0.214,1.0
NO,"Fishing, operating of fish hatcheries and fish farms; s",4272.0,0.043,0.2
NO,Extraction of natural gas and services related to natur,2176.0,0.021,0.1
NO,Manufacture of beverages,1373.0,0.172,0.8
PL,Construction (45),224078.0,0.5,0.6
PL,"Manufacture of cement, lime and plaster",160102.0,0.5,0.5
PL,"Sale, maintenance, repair of motor vehicles, motor vehi",115775.0,0.8,1.0
PL,Manufacture of beverages,102438.0,0.8,0.8
PL,Paper,91742.0,0.5,0.4
PL,Processing of Food products nec,75298.0,0.8,0.8
PL,Manufacture of glass and glass products,53634.0,0.5,0.5
PL,Cultivation of wheat,45337.0,0.5,0.2
PT,Construction (45),52330.0,0.177,0.6
PT,"Wholesale trade and commission trade, except of motor v",43607.0,0.294,1.0
PT,"Retail trade, except of motor vehicles and motorcycles;",19281.0,0.294,1.0
PT,Manufacture of glass and glass products,13245.0,0.147,0.5
PT,"Sale, maintenance, repair of motor vehicles, motor vehi",12391.0,0.294,1.0
PT,Manufacture of beverages,7431.0,0.236,0.8
PT,"Manufacture of cement, lime and plaster",6157.0,0.147,0.5
PT,Manufacture of ceramic goods,4041.0,0.147,0.5
RO,Construction (45),74440.0,0.254,0.6
RO,"Wholesale trade and commission trade, except of motor v",54966.0,0.424,1.0
RO,"Retail trade, except of motor vehicles and motorcycles;",35018.0,0.424,1.0
RO,Manufacture of beverages,24439.0,0.339,0.8
RO,"Manufacture of cement, lime and plaster",23601.0,0.212,0.5
RO,Processing of Food products nec,12882.0,0.339,0.8
RO,"Manure treatment (conventional), storage and land appli",9075.0,0.297,0.7
RO,"Waste water treatment, other",7107.0,0.297,0.7
RU,"Wholesale trade and commission trade, except of motor v",202400.0,0.338,1.0
RU,"Sale, maintenance, repair of motor vehicles, motor vehi",150276.0,0.338,1.0
RU,"Retail trade, except of motor vehicles and motorcycles;",126631.0,0.338,1.0
RU,Manufacture of beverages,107210.0,0.271,0.8
RU,"Manufacture of cement, lime and plaster",104795.0,0.169,0.5
RU,Construction (45),91390.0,0.203,0.6
RU,Sugar refining,61875.0,0.271,0.8
RU,Processing of Food products nec,54101.0,0.271,0.8
SE,"Wholesale trade and commission trade, except of motor v",38886.0,0.149,1.0
SE,"Retail trade, except of motor vehicles and motorcycles;",18589.0,0.149,1.0
SE,"Sale, maintenance, repair of motor vehicles, motor vehi",12097.0,0.149,1.0
SE,Construction (45),11682.0,0.09,0.6
SE,Paper,7218.0,0.06,0.4
SE,Recycling of waste and scrap,3738.0,0.104,0.7
SE,"Forestry, logging and related service activities (02)",1634.0,0.03,0.2
SE,"Manufacture of wood and of products of wood and cork, e",1405.0,0.06,0.4
SI,"Wholesale trade and commission trade, except of motor v",10017.0,0.195,1.0
SI,Construction (45),3240.0,0.117,0.6
SI,"Sale, maintenance, repair of motor vehicles, motor vehi",1942.0,0.195,1.0
SI,Manufacture of beverages,1754.0,0.156,0.8
SI,Paper,1311.0,0.078,0.4
SI,"Manure treatment (conventional), storage and land appli",930.0,0.137,0.7
SI,"Manufacture of cement, lime and plaster",867.0,0.098,0.5
SI,Manufacture of furniture; manufacturing n.e.c. (36),761.0,0.078,0.4
SK,"Wholesale trade and commission trade, except of motor v",14250.0,0.223,1.0
SK,Construction (45),8480.0,0.134,0.6
SK,"Retail trade, except of motor vehicles and motorcycles;",6617.0,0.223,1.0
SK,Manufacture of machinery and equipment n.e.c. (29),1542.0,0.067,0.3
SK,"Sale, maintenance, repair of motor vehicles, motor vehi",1112.0,0.223,1.0
SK,Manufacture of office machinery and computers (30),771.0,0.067,0.3
SK,"Manufacture of cement, lime and plaster",699.0,0.112,0.5
SK,Manufacture of beverages,538.0,0.179,0.8
TR,"Wholesale trade and commission trade, except of motor v",305836.0,0.464,1.0
TR,Manufacture of textiles (17),175557.0,0.186,0.4
TR,Processing of Food products nec,142086.0,0.371,0.8
TR,Construction (45),104632.0,0.279,0.6
TR,"Sale, maintenance, repair of motor vehicles, motor vehi",75872.0,0.464,1.0
TR,"Retail trade, except of motor vehicles and motorcycles;",64399.0,0.464,1.0
TR,Manufacture of wearing apparel; dressing and dyeing of ,64109.0,0.186,0.4
TR,Paper,32199.0,0.186,0.4
US,"Wholesale trade and commission trade, except of motor v",3693169.0,0.502,1.0
US,Construction (45),2704407.0,0.301,0.6
US,"Retail trade, except of motor vehicles and motorcycles;",1245953.0,0.502,1.0
US,Manufacture of beverages,805213.0,0.402,0.8
US,"Sale, maintenance, repair of motor vehicles, motor vehi",772972.0,0.502,1.0
US,Paper,668056.0,0.201,0.4
US,Processing of Food products nec,620699.0,0.402,0.8
US,"Manufacture of cement, lime and plaster",387386.0,0.251,0.5
WA,"Wholesale trade and commission trade, except of motor v",536885.0,0.253,1.0
WA,Construction (45),374278.0,0.152,0.6
WA,"Retail trade, except of motor vehicles and motorcycles;",334921.0,0.253,1.0
WA,Processed rice,298393.0,0.202,0.8
WA,Sugar refining,263877.0,0.202,0.8
WA,"Manufacture of cement, lime and plaster",223426.0,0.127,0.5
WA,"Manure treatment (conventional), storage and land appli",204540.0,0.177,0.7
WA,Recycling of waste and scrap,172499.0,0.177,0.7
WE,"Wholesale trade and commission trade, except of motor v",78626.0,0.15,1.0
WE,Construction (45),69763.0,0.09,0.6
WE,"Retail trade, except of motor vehicles and motorcycles;",52027.0,0.15,1.0
