region,activity,s_ele,u_need,net,residual
CH,Solar,20150.34328403972,524.0739552459994,524.0739552459994,19626.26932879372
CH,Wind,734.3540061975497,19.204418629175365,19.204418629175365,715.1495875683743
CH,Nuclear,106253.06400601238,0.0,0.0,106253.06400601238
CN,Bioenergy,46239.81593535134,0.0,0.0,46239.81593535134
CN,"Biogasification of sewage slugde, incl. land application",3937.4543837925794,24.7153701036276,24.7153701036276,3912.7390136889517
CN,Coal,11104305.618185444,666087.4864879007,666087.4864879007,10438218.131697543
CN,Gas,610501.6818635704,34461.855152277756,34461.855152277756,576039.8267112926
CN,Hydro,2413209.36819048,147485.8818778519,147485.8818778519,2265723.486312628
CN,Incineration of waste: Food,10338.782307871648,1570.913901696765,1570.913901696765,8767.868406174883
CN,Incineration of waste: Oil/Hazardous waste,2725.0795404772803,2306.3891325013037,2306.3891325013037,418.69040797597654
CN,Incineration of waste: Paper,7212.000495665145,3791.8872399014263,3791.8872399014263,3420.1132557637184
CN,Incineration of waste: Plastic,2189.120532782528,444.3750463426689,444.3750463426689,1744.745486439859
CN,Incineration of waste: Textiles,2279.6052956181084,1068.689931392024,1068.689931392024,1210.9153642260844
CN,Incineration of waste: Wood,2848.8571665659906,551.6970063982135,551.6970063982135,2297.160160167777
CN,Other Fossil,308114.4142896922,16712.34238593569,16712.34238593569,291402.07190375647
CN,Solar,1125170.2733787885,68680.69775177562,68680.69775177562,1056489.5756270129
CN,Wind,1706337.8276605506,102453.61923992992,102453.61923992992,1603884.2084206208
CN,Nuclear,837357.940451485,47470.02140912487,47470.02140912487,789887.9190423602
CY,Bioenergy,179.722547633332,0.0,0.0,179.722547633332
CY,"Biogasification of sewage slugde, incl. land application",5.278600073221101,0.0865435051544369,0.0865435051544369,5.192056568066664
CY,Incineration of waste: Food,0.0639013246938728,1.950452334495711,0.0639013246938728,0.0
CY,Incineration of waste: Oil/Hazardous waste,3.617110820464814,1.981495401243732,1.981495401243732,1.6356154192210821
CY,Incineration of waste: Paper,0.0639013246938728,0.04135085969304,0.04135085969304,0.022550465000832805
CY,Incineration of waste: Plastic,0.0139218569582408,0.1157621127296527,0.0139218569582408,0.0
CY,Incineration of waste: Textiles,0.014417243277339,0.0086077755833885,0.0086077755833885,0.0058094676939505
CY,Incineration of waste: Wood,0.0182593861470977,0.3311582174703462,0.0182593861470977,0.0
CY,Other Fossil,14132.184441185524,0.0,0.0,14132.184441185524
CY,Solar,2770.658946560944,0.0,0.0,2770.658946560944
CY,Wind,695.4878615067687,32.59426904458189,32.59426904458189,662.8935924621868
CZ,Bioenergy,16877.89332332088,843.894666166044,843.894666166044,16033.998657154836
CZ,"Biogasification of sewage slugde, incl. land application",1183.819508907916,8.097489129155543,8.097489129155543,1175.7220197787606
CZ,Coal,97358.57015159364,18498.231213380703,18498.231213380703,78860.33893821294
CZ,Gas,11917.199547528448,595.8599772681251,595.8599772681251,11321.339570260323
CZ,Hydro,7683.732458552625,384.1866229276313,384.1866229276313,7299.545835624994
CZ,Incineration of waste: Food,245.5207738455966,292.50791913107366,245.5207738455966,0.0
CZ,Incineration of waste: Oil/Hazardous waste,420.51743485342257,249.33771025571443,249.33771025571443,171.17972459770814
CZ,Incineration of waste: Paper,262.1866057414248,215.7713593163634,215.7713593163634,46.41524642506138
CZ,Incineration of waste: Plastic,116.67715150641838,32.39408676951526,32.39408676951526,84.28306473690313
CZ,Incineration of waste: Textiles,55.39373015818483,36.28722226996456,36.28722226996456,19.10650788822027
CZ,Incineration of waste: Wood,78.68898851214523,49.1413421507239,49.1413421507239,29.54764636142133
CZ,Other Fossil,2525.327869987103,126.26639349935516,126.26639349935516,2399.0614764877478
CZ,Solar,9404.263965746966,470.21319828734835,470.21319828734835,8934.050767459617
CZ,Wind,2281.5369952455417,114.07684976227706,114.07684976227706,2167.4601454832646
CZ,Nuclear,98886.1806231146,4086.557576870448,4086.557576870448,94799.62304624416
DE,Bioenergy,167213.7886216253,5751.789043406005,5751.789043406005,161461.99957821931
DE,"Biogasification of food waste, incl. land application",1773.912215533011,15.78741091542627,15.78741091542627,1758.1248046175847
DE,"Biogasification of paper, incl. land application",246.37669656944712,1.893150460598623,1.893150460598623,244.4835461088485
DE,"Biogasification of sewage slugde, incl. land application",10355.601373668253,73.1843926095647,73.1843926095647,10282.416981058688
DE,Coal,455205.0583031713,0.0,0.0,455205.0583031713
DE,Gas,294582.85565978935,0.0,0.0,294582.85565978935
DE,Hydro,72462.82943426089,3623.1414717130447,3623.1414717130447,68839.68796254785
DE,Incineration of waste: Food,10043.411511430088,5780.336607431629,5780.336607431629,4263.0749039984585
DE,Incineration of waste: Oil/Hazardous waste,15743.530110775577,3997.313999765372,3997.313999765372,11746.216111010204
DE,Incineration of waste: Paper,14268.88636456249,5319.503426236496,5319.503426236496,8949.382938325994
DE,Incineration of waste: Plastic,14009.973174216791,2407.3068950613037,2407.3068950613037,11602.666279155488
DE,Incineration of waste: Textiles,2265.967228251435,886.89906061174,886.89906061174,1379.0681676396948
DE,Incineration of waste: Wood,9366.336191208926,3107.410819744654,3107.410819744654,6258.925371464272
DE,Other Fossil,84741.15941644691,0.0,0.0,84741.15941644691
DE,Other Renewables,710.2770553775447,35.5138534956404,35.5138534956404,674.7632018819043
DE,Solar,231572.17473170656,9253.392265065737,9253.392265065737,222318.7824666408
