site,year,eta_total,eta_elec_plants,eta_chp_total,eta_coal,eta_mgas,eta_peat,eta_oilshale,eta_gas,eta_oil,eta_bio,eta_waste,eta_coal_el,eta_mgas_el,eta_peat_el,eta_oilshale_el,eta_gas_el,eta_oil_el,eta_bio_el,eta_waste_el,fuel_in_PJ,elec_out_TWh,heat_out_PJ,flags,step0_decision,arbitrated_decision
ES,Y21,0.455,0.406,0.596,0.334,0.369,,,0.505,0.424,0.302,0.266,0.334,0.369,,,0.505,0.424,0.302,0.266,755.7,95.44,0.0,,UNSD,UNSD
ES,Y22,0.447,0.421,0.594,0.337,0.393,,,0.488,0.418,0.309,0.261,0.337,0.393,,,0.488,0.418,0.309,0.261,909.8,112.95,0.0,,UNSD,UNSD
ES,Y23,0.436,0.403,0.571,0.315,0.369,,,0.483,0.394,0.289,0.259,0.315,0.369,,,0.483,0.394,0.289,0.259,699.6,84.76,0.0,,UNSD,UNSD
ET,Y21,0.151,0.151,,,,,,,0.099,0.321,,,,,,,0.099,0.321,,0.6,0.03,0.0,eta_total;eta_elec_plants;eta_oil,UNSD,UNSD
ET,Y22,0.175,0.175,,,,,,,0.328,0.305,,,,,,,0.328,0.305,,0.2,0.01,0.0,eta_total;eta_elec_plants,UNSD,UNSD
ET,Y23,0.175,0.175,,,,,,,0.328,0.305,,,,,,,0.328,0.305,,0.2,0.01,0.0,eta_total;eta_elec_plants,UNSD,UNSD
FI,Y21,0.772,0.348,0.749,0.793,0.504,0.776,,0.782,0.857,0.779,0.727,0.277,0.36,0.231,,0.308,0.057,0.27,0.158,329.1,23.67,169.0,,UNSD,UNSD
FI,Y22,0.786,0.395,0.767,0.779,0.53,0.741,,0.763,0.881,0.803,0.755,0.284,0.342,0.24,,0.245,0.049,0.27,0.168,300.7,20.69,162.0,,UNSD,UNSD
FI,Y23,0.785,0.379,0.76,0.784,0.534,0.802,,0.78,0.838,0.794,0.75,0.253,0.365,0.185,,0.125,0.069,0.241,0.132,268.3,16.03,152.8,,UNSD,UNSD
FJ,Y21,0.353,0.372,0.172,,,,,,0.374,0.336,,,,,,,0.374,0.336,,4.0,0.39,0.0,eta_chp_total,REVIEW,EMBER(eta)
FJ,Y22,0.383,0.406,0.179,,,,,,0.407,0.351,,,,,,,0.407,0.351,,4.5,0.48,0.0,eta_chp_total,REVIEW,EMBER(eta)
FJ,Y23,0.401,0.424,0.179,,,,,,0.425,0.353,,,,,,,0.425,0.353,,5.2,0.58,0.0,eta_chp_total,REVIEW,EMBER(eta)
FK,Y21,0.382,0.382,,,,,,,0.382,,,,,,,,0.382,,,0.1,0.01,0.0,,EMBER|dtot,EMBER|dtot
FK,Y22,0.389,0.389,,,,,,,0.389,,,,,,,,0.389,,,0.1,0.01,0.0,,EMBER|dtot,EMBER|dtot
FK,Y23,0.366,0.366,,,,,,,0.366,,,,,,,,0.366,,,0.1,0.01,0.0,,EMBER|dtot,EMBER|dtot
FM,Y21,0.342,0.342,,,,,,,0.342,,,,,,,,0.342,,,0.8,0.08,0.0,,,
FM,Y22,0.345,0.345,,,,,,,0.345,,,,,,,,0.345,,,0.8,0.08,0.0,,,
FM,Y23,0.335,0.335,,,,,,,0.335,,,,,,,,0.335,,,0.8,0.08,0.0,,,
FO,Y21,0.428,0.428,,,,,,,0.431,0.32,,,,,,,0.431,0.32,,2.3,0.27,0.0,,REVIEW,UNSD(eta)
FO,Y22,0.419,0.419,,,,,,,0.423,0.32,,,,,,,0.423,0.32,,1.8,0.21,0.0,,REVIEW,UNSD(eta)
FO,Y23,0.422,0.422,,,,,,,0.424,0.32,,,,,,,0.424,0.32,,2.0,0.23,0.0,,REVIEW,UNSD(eta)
FR,Y21,0.577,0.417,0.672,0.399,0.357,,,0.645,0.484,0.645,0.505,0.325,0.357,,,0.407,0.336,0.208,0.156,669.8,58.17,177.3,,UNSD,UNSD
FR,Y22,0.571,0.449,0.648,0.398,0.403,,,0.623,0.477,0.613,0.506,0.318,0.403,,,0.445,0.347,0.202,0.154,726.9,68.13,169.6,,UNSD,UNSD
FR,Y23,0.566,0.431,0.612,0.389,0.353,,,0.628,0.514,0.578,0.483,0.302,0.353,,,0.399,0.375,0.202,0.168,600.9,51.24,155.9,,UNSD,UNSD
GA,Y21,0.303,0.303,,,,,,0.3,0.324,0.113,,,,,,0.3,0.324,0.113,,18.9,1.6,0.0,eta_bio,UNSD,UNSD
GA,Y22,0.339,0.339,,,,,,0.347,0.299,0.211,,,,,,0.347,0.299,0.211,,21.6,2.04,0.0,,UNSD,UNSD
GA,Y23,0.307,0.307,,,,,,0.3,0.324,0.246,,,,,,0.3,0.324,0.246,,19.8,1.68,0.0,,UNSD,UNSD
GB,Y21,0.464,0.45,0.465,0.36,0.207,,,0.496,0.414,0.438,0.345,0.358,0.205,,,0.438,0.328,0.425,0.335,1524.6,178.07,66.2,,UNSD,UNSD
GB,Y22,0.468,0.452,0.477,0.369,0.201,,,0.497,0.557,0.429,0.362,0.367,0.199,,,0.441,0.468,0.414,0.348,1496.4,176.4,64.9,,UNSD,UNSD
GB,Y23,0.47,0.453,0.476,0.36,0.211,,,0.508,0.399,0.436,0.352,0.358,0.209,,,0.44,0.325,0.42,0.338,1270.0,148.21,63.8,,UNSD,UNSD
GD,Y21,0.378,0.378,,,,,,,0.378,,,,,,,,0.378,,,2.2,0.23,0.0,,UNSD,UNSD
GD,Y22,0.386,0.386,,,,,,,0.386,,,,,,,,0.386,,,2.3,0.25,0.0,,UNSD,UNSD
GD,Y23,0.383,0.383,,,,,,,0.383,,,,,,,,0.383,,,2.5,0.26,0.0,,UNSD,UNSD
GE,Y21,0.439,0.439,,,,,,0.439,,,,,,,,0.439,,,,19.5,2.38,0.0,,UNSD,UNSD
GE,Y22,0.412,0.412,,,,,,0.412,,,,,,,,0.412,,,,29.6,3.39,0.0,,UNSD,UNSD
GE,Y23,0.413,0.413,,,,,,0.413,,,,,,,,0.413,,,,30.0,3.45,0.0,,UNSD,UNSD
GG,Y21,0.386,0.386,,,,,,,0.386,,,,,,,,0.386,,,0.3,0.03,0.0,,,
GG,Y22,0.391,0.391,,,,,,,0.391,,,,,,,,0.391,,,0.3,0.03,0.0,,,
GG,Y23,0.389,0.389,,,,,,,0.389,,,,,,,,0.389,,,0.3,0.03,0.0,,,
GH,Y21,0.431,0.431,,,,,,0.438,0.29,,,,,,,0.438,0.29,,,120.4,14.41,0.0,,UNSD,UNSD
GH,Y22,0.377,0.377,,,,,,0.382,0.283,0.3,,,,,,0.382,0.283,0.3,,141.3,14.81,0.0,,UNSD,UNSD
GH,Y23,0.356,0.356,,,,,,0.359,0.275,0.3,,,,,,0.359,0.275,0.3,,151.1,14.93,0.0,,UNSD,UNSD
GI,Y21,0.395,0.395,,,,,,0.4,0.375,,,,,,,0.4,0.375,,,2.0,0.22,0.0,,EMBER,EMBER
GI,Y22,0.396,0.396,,,,,,0.4,0.38,,,,,,,0.4,0.38,,,2.0,0.22,0.0,,EMBER,EMBER
GI,Y23,0.395,0.395,,,,,,0.4,0.375,,,,,,,0.4,0.375,,,2.1,0.23,0.0,,EMBER,EMBER
GL,Y21,0.922,,0.922,,,,,,0.928,,0.861,,,,,,0.395,,0.214,1.3,0.14,0.7,eta_total,REVIEW,EMBER(eta)
GL,Y22,0.991,,0.991,,,,,,0.991,,0.982,,,,,,0.44,,0.254,1.2,0.15,0.7,eta_total;eta_chp_total,REVIEW,EMBER(eta)
GL,Y23,0.947,,0.947,,,,,,0.949,,0.901,,,,,,0.401,,0.322,1.3,0.14,0.7,eta_total,REVIEW,EMBER(eta)
GM,Y21,0.329,0.329,,,,,,,0.329,,,,,,,,0.329,,,5.6,0.51,0.0,,UNSD|dtot,UNSD|dtot
GM,Y22,0.322,0.322,,,,,,,0.322,,,,,,,,0.322,,,6.6,0.59,0.0,,UNSD|dtot,UNSD|dtot
GM,Y23,0.323,0.323,,,,,,,0.323,,,,,,,,0.323,,,7.6,0.68,0.0,,UNSD|dtot,UNSD|dtot
GN,Y21,0.357,0.357,,,,,,,0.357,,,,,,,,0.357,,,4.0,0.4,0.0,,EMBER,EMBER
GN,Y22,0.338,0.338,,,,,,,0.338,,,,,,,,0.338,,,3.5,0.33,0.0,,EMBER,EMBER
GN,Y23,0.316,0.316,,,,,,,0.316,,,,,,,,0.316,,,3.5,0.31,0.0,,EMBER,EMBER
GQ,Y21,0.282,0.282,,,,,,0.281,0.377,,,,,,,0.281,0.377,,,7.7,0.61,0.0,,UNSD|dtot,UNSD|dtot
GQ,Y22,0.286,0.286,,,,,,0.285,0.377,,,,,,,0.285,0.377,,,7.8,0.62,0.0,,UNSD|dtot,UNSD|dtot
GQ,Y23,0.305,0.305,,,,,,0.304,0.377,,,,,,,0.304,0.377,,,7.8,0.66,0.0,,UNSD|dtot,UNSD|dtot
GR,Y21,0.315,0.368,0.196,0.133,,,,0.468,0.35,0.387,0.46,0.122,,,,0.467,0.35,0.387,0.46,383.4,33.05,2.0,eta_chp_total;eta_coal,UNSD,UNSD
GR,Y22,0.307,0.366,0.194,0.142,,,,0.472,0.324,0.374,0.469,0.134,,,,0.47,0.324,0.374,0.469,364.3,30.65,1.5,eta_chp_total;eta_coal,UNSD,UNSD
GR,Y23,0.32,0.365,0.216,0.154,,,,0.469,0.322,0.371,0.42,0.145,,,,0.466,0.322,0.371,0.42,296.4,25.96,1.4,eta_chp_total,UNSD,UNSD
GT,Y21,0.183,0.183,,0.294,,,,,0.4,0.25,,0.294,,,,,0.4,0.25,,129.9,6.59,0.0,eta_total;eta_elec_plants,REVIEW,EMBER(eta)
GT,Y22,0.181,0.181,,0.348,,,,,0.402,0.233,,0.348,,,,,0.402,0.233,,101.1,5.07,0.0,eta_total;eta_elec_plants,REVIEW,EMBER(eta)
GT,Y23,0.184,0.184,,0.31,,,,,0.413,0.212,,0.31,,,,,0.413,0.212,,133.2,6.81,0.0,eta_total;eta_elec_plants,REVIEW,EMBER(eta)
GW,Y21,0.285,0.285,,,,,,,0.285,,,,,,,,0.285,,,2.4,0.19,0.0,,REVIEW|dtot,UNSD(eta)
GW,Y22,0.249,0.249,,,,,,,0.249,,,,,,,,0.249,,,2.6,0.18,0.0,,REVIEW|dtot,UNSD(eta)
GW,Y23,0.241,0.241,,,,,,,0.241,,,,,,,,0.241,,,2.7,0.18,0.0,,REVIEW|dtot,UNSD(eta)
GY,Y21,0.378,0.378,,,,,,0.462,0.382,0.219,,,,,,0.462,0.382,0.219,,10.7,1.12,0.0,,REVIEW,UNSD(eta)
GY,Y22,0.364,0.364,,,,,,0.447,0.367,0.225,,,,,,0.447,0.367,0.225,,12.3,1.25,0.0,,REVIEW,UNSD(eta)
GY,Y23,0.406,0.406,,,,,,0.449,0.41,0.223,,,,,,0.449,0.41,0.223,,11.7,1.32,0.0,,REVIEW,UNSD(eta)
HK,Y21,0.405,0.405,,0.342,,,,0.46,0.438,,,0.342,,,,0.46,0.438,,,329.4,37.07,0.0,,UNSD,UNSD
HK,Y22,0.403,0.403,,0.342,,,,0.456,0.417,,,0.342,,,,0.456,0.417,,,323.5,36.19,0.0,,UNSD,UNSD
HK,Y23,0.408,0.408,,0.342,,,,0.46,0.416,,,0.342,,,,0.46,0.416,,,332.4,37.63,0.0,,UNSD,UNSD
HN,Y21,0.35,0.35,,,,,,,0.43,0.267,,,,,,,0.43,0.267,,50.8,4.94,0.0,,REVIEW,UNSD(eta)
HN,Y22,0.334,0.334,,,,,,,0.397,0.265,,,,,,,0.397,0.265,,56.4,5.23,0.0,,REVIEW,UNSD(eta)
HN,Y23,0.374,0.374,,,,,,,0.442,0.268,,,,,,,0.442,0.268,,62.1,6.45,0.0,,REVIEW,UNSD(eta)
HR,Y21,0.572,0.384,0.619,0.385,,,,0.65,0.589,0.567,,0.385,,,,0.332,0.249,0.259,,62.9,5.68,15.6,,UNSD,UNSD
HR,Y22,0.534,0.391,0.567,0.395,,,,0.603,0.56,0.499,,0.395,,,,0.343,0.251,0.239,,69.3,6.28,14.4,,UNSD,UNSD
HR,Y23,0.525,0.386,0.55,0.388,,,,0.579,0.55,0.493,,0.388,,,,0.341,0.284,0.238,,69.4,6.27,13.9,,UNSD,UNSD
HT,Y21,0.351,0.351,,,,,,,0.351,,,,,,,,0.351,,,8.8,0.86,0.0,,UNSD,UNSD
HT,Y22,0.341,0.341,,,,,,,0.341,,,,,,,,0.341,,,8.8,0.84,0.0,,UNSD,UNSD
HT,Y23,0.377,0.377,,,,,,,0.377,,,,,,,,0.377,,,6.3,0.66,0.0,,UNSD,UNSD
HU,Y21,0.49,0.437,0.442,0.199,0.565,,,0.655,0.363,0.447,0.48,0.185,0.067,,,0.319,0.298,0.29,0.209,206.0,15.3,45.8,,UNSD,UNSD
HU,Y22,0.481,0.436,0.434,0.204,0.547,,,0.646,0.381,0.448,0.506,0.189,0.065,,,0.325,0.323,0.288,0.204,191.8,14.39,40.4,,UNSD,UNSD
HU,Y23,0.499,0.456,0.446,0.209,0.735,,,0.667,0.368,0.478,0.508,0.188,0.049,,,0.315,0.341,0.278,0.213,158.5,11.7,36.9,,UNSD,UNSD
ID,Y21,0.261,0.261,,0.233,,,,0.471,0.241,0.385,,0.233,,,,0.471,0.241,0.385,,3506.9,253.87,0.0,,REVIEW,UNSD(eta)
ID,Y22,0.276,0.276,,0.251,,,,0.476,0.29,0.318,,0.251,,,,0.476,0.29,0.318,,3947.8,302.34,0.0,,REVIEW,UNSD(eta)
ID,Y23,0.312,0.312,,0.291,,,,0.479,0.246,0.615,,0.291,,,,0.479,0.246,0.615,,3834.0,332.5,0.0,,REVIEW,UNSD(eta)
IE,Y21,0.437,0.426,0.576,0.333,,0.209,,0.501,0.348,0.396,0.311,0.333,,0.209,,0.501,0.348,0.396,0.311,172.6,20.97,0.0,,UNSD,UNSD
IE,Y22,0.442,0.43,0.599,0.347,,0.152,,0.493,0.365,0.395,0.305,0.347,,0.152,,0.493,0.365,0.395,0.305,175.5,21.55,0.0,,UNSD,UNSD
IE,Y23,0.448,0.436,0.578,0.319,,0.127,,0.492,0.35,0.373,0.3,0.319,,0.127,,0.492,0.35,0.373,0.3,145.4,18.1,0.0,eta_peat,UNSD,UNSD
IL,Y21,0.478,0.469,0.584,0.36,,,0.255,0.54,0.26,,,0.36,,,0.255,0.54,0.26,,,512.3,68.05,0.0,,UNSD,UNSD
IL,Y22,0.476,0.47,0.548,0.363,,,0.128,0.532,0.281,,,0.363,,,0.128,0.532,0.281,,,524.4,69.35,0.0,eta_oilshale,UNSD,UNSD
IL,Y23,0.49,0.481,0.584,0.36,,,0.128,0.54,0.273,,,0.36,,,0.128,0.54,0.273,,,497.2,67.62,0.0,eta_oilshale,UNSD,UNSD
IM,Y21,0.398,0.398,,,,,,0.441,0.352,,0.206,,,,,0.441,0.352,,0.206,3.2,0.36,0.0,,,
IM,Y22,0.454,0.454,,,,,,0.493,0.291,,0.162,,,,,0.493,0.291,,0.162,4.6,0.59,0.0,,,
IM,Y23,0.419,0.419,,,,,,0.455,0.265,,0.147,,,,,0.455,0.265,,0.147,4.6,0.54,0.0,eta_waste,,
IN,Y21,0.35,0.367,0.0,0.348,0.388,,,0.419,0.333,0.53,,0.348,0.388,,,0.419,0.333,0.53,,12842.6,1247.82,0.0,eta_chp_total,UNSD,UNSD
IN,Y22,0.356,0.375,0.0,0.359,0.381,,,0.408,0.369,0.489,,0.359,0.381,,,0.408,0.369,0.489,,14398.8,1423.0,0.0,eta_chp_total,UNSD,UNSD
IN,Y23,0.334,0.349,0.0,0.337,0.321,,,0.395,0.36,0.382,,0.337,0.321,,,0.395,0.36,0.382,,16701.0,1550.94,0.0,eta_chp_total,UNSD,UNSD
IQ,Y21,0.236,0.236,,,,,,0.235,0.238,,,,,,,0.235,0.238,,,1260.4,82.76,0.0,,REVIEW|dtot,UNSD(eta)
IQ,Y22,0.284,0.284,,,,,,0.284,0.284,,,,,,,0.284,0.284,,,1429.4,112.88,0.0,,REVIEW|dtot,UNSD(eta)
IQ,Y23,0.214,0.214,,,,,,0.214,0.214,,,,,,,0.214,0.214,,,1561.1,93.01,0.0,,REVIEW|dtot,UNSD(eta)
IR,Y21,0.346,0.346,,,0.25,,,0.356,0.301,0.306,,,0.25,,,0.356,0.301,0.306,,3514.8,337.93,0.0,,REVIEW,UNSD(eta)
IR,Y22,0.352,0.352,,,0.25,,,0.364,0.301,0.306,,,0.25,,,0.364,0.301,0.306,,3526.4,344.6,0.0,,REVIEW,UNSD(eta)
IR,Y23,0.352,0.352,,,0.25,,,0.364,0.301,0.306,,,0.25,,,0.364,0.301,0.306,,3687.6,360.6,0.0,,REVIEW,UNSD(eta)
IS,Y21,0.679,0.255,,,,,,,0.679,,,,,,,,0.255,,,0.0,0.0,0.0,,UNSD,UNSD
IS,Y22,1.541,0.259,,,,,,,1.541,,,,,,,,0.148,,,0.1,0.0,0.1,eta_total;eta_oil,UNSD,UNSD
IS,Y23,5.238,0.174,,,,,,,5.238,,,,,,,,0.174,,,0.1,0.0,0.4,eta_total;eta_elec_plants;eta_oil,UNSD,UNSD
IT,Y21,0.474,0.433,0.501,0.35,0.378,,,0.528,0.26,0.419,0.364,0.35,0.317,,,0.465,0.257,0.36,0.235,1629.6,189.13,91.8,,UNSD,UNSD
IT,Y22,0.472,0.429,0.504,0.353,0.397,,,0.535,0.325,0.419,0.357,0.353,0.318,,,0.476,0.318,0.353,0.238,1691.6,198.52,84.3,,UNSD,UNSD
IT,Y23,0.483,0.431,0.511,0.36,0.455,,,0.541,0.302,0.44,0.371,0.36,0.329,,,0.473,0.295,0.361,0.239,1382.5,161.97,84.4,,UNSD,UNSD
JE,Y21,0.154,0.154,,,,,,,0.33,,0.149,,,,,,0.33,,0.149,0.8,0.03,0.0,eta_total;eta_elec_plants;eta_waste,,
JE,Y22,0.19,0.19,,,,,,,0.33,,0.187,,,,,,0.33,,0.187,0.8,0.04,0.0,eta_total;eta_elec_plants,,
JE,Y23,0.193,0.193,,,,,,,0.262,,0.191,,,,,,0.262,,0.191,0.8,0.04,0.0,eta_total;eta_elec_plants,,
JM,Y21,0.428,0.891,0.028,,,,,0.41,0.483,0.5,,,,,,0.41,0.483,0.5,,36.9,4.39,0.0,eta_elec_plants;eta_chp_total,REVIEW,EMBER(eta)
JM,Y22,0.486,0.907,0.0,,,,,0.437,0.555,,,,,,,0.437,0.555,,,33.3,4.49,0.0,eta_elec_plants;eta_chp_total,REVIEW,EMBER(eta)
JM,Y23,0.38,0.681,0.0,,,,,0.323,0.467,,,,,,,0.323,0.467,,,41.0,4.33,0.0,eta_elec_plants;eta_chp_total,REVIEW,EMBER(eta)
JO,Y21,0.383,0.383,,,,,0.284,0.389,0.327,0.3,,,,,0.284,0.389,0.327,0.3,,157.6,16.79,0.0,,REVIEW,UNSD(eta)
JO,Y22,0.368,0.368,,,,,0.284,0.378,0.321,0.3,,,,,0.284,0.378,0.321,0.3,,176.0,18.0,0.0,,REVIEW,UNSD(eta)
JO,Y23,0.377,0.377,,,,,0.318,0.395,0.327,0.3,,,,,0.318,0.395,0.327,0.3,,181.0,18.97,0.0,,REVIEW,UNSD(eta)
JP,Y21,0.42,0.418,,0.376,0.387,,,0.472,0.359,0.463,0.422,0.374,0.387,,,0.468,0.357,0.463,0.422,6681.2,773.73,18.6,,REVIEW,UNSD(eta)
JP,Y22,0.421,0.419,,0.368,0.384,,,0.475,0.373,0.515,0.469,0.366,0.384,,,0.471,0.371,0.515,0.469,6500.4,754.43,18.4,,REVIEW,UNSD(eta)
JP,Y23,0.417,0.415,,0.361,0.372,,,0.47,0.369,0.516,0.472,0.359,0.372,,,0.465,0.361,0.516,0.472,6151.1,707.15,18.6,,REVIEW,UNSD(eta)
KE,Y21,0.293,0.293,,,,,,,0.291,0.3,,,,,,,0.291,0.3,,18.6,1.51,0.0,,UNSD,UNSD
KE,Y22,0.289,0.289,,,,,,,0.284,0.324,,,,,,,0.284,0.324,,23.0,1.85,0.0,,UNSD,UNSD
KE,Y23,0.292,0.292,,,,,,,0.291,0.3,,,,,,,0.291,0.3,,18.6,1.51,0.0,,UNSD,UNSD
KG,Y21,0.628,,0.583,0.593,,,,0.791,0.776,,,0.225,,,,0.133,0.104,,,32.3,1.86,13.6,,UNSD,UNSD
KG,Y22,0.708,,0.648,0.691,,,,0.745,0.823,,,0.287,,,,0.085,0.089,,,29.0,1.95,13.5,,UNSD,UNSD
KG,Y23,0.68,,0.623,0.653,,,,0.736,0.876,,,0.263,,,,0.13,0.137,,,28.3,1.81,12.7,,UNSD,UNSD
KH,Y21,0.371,0.371,,0.383,,,,,0.324,0.194,,0.383,,,,,0.324,0.194,,42.0,4.32,0.0,,UNSD,UNSD
KH,Y22,0.376,0.376,,0.383,,,,,0.324,0.194,,0.383,,,,,0.324,0.194,,36.0,3.76,0.0,,UNSD,UNSD
KH,Y23,0.379,0.379,,0.383,,,,,0.324,0.194,,0.383,,,,,0.324,0.194,,82.4,8.68,0.0,,UNSD,UNSD
KI,Y21,0.387,0.387,,,,,,,0.387,,,,,,,,0.387,,,0.3,0.03,0.0,,REVIEW,UNSD(eta)
KI,Y22,0.385,0.385,,,,,,,0.385,,,,,,,,0.385,,,0.3,0.03,0.0,,REVIEW,UNSD(eta)
KI,Y23,0.385,0.385,,,,,,,0.385,,,,,,,,0.385,,,0.3,0.03,0.0,,REVIEW,UNSD(eta)
KM,Y21,0.291,0.291,,,,,,,0.291,,,,,,,,0.291,,,1.6,0.13,0.0,,UNSD,UNSD
KM,Y22,0.29,0.29,,,,,,,0.29,,,,,,,,0.29,,,1.7,0.14,0.0,,UNSD,UNSD
KM,Y23,0.288,0.288,,,,,,,0.288,,,,,,,,0.288,,,1.8,0.14,0.0,,UNSD,UNSD
KN,Y21,0.386,0.386,,,,,,,0.386,,,,,,,,0.386,,,2.1,0.23,0.0,,UNSD,UNSD
KN,Y22,0.384,0.384,,,,,,,0.384,,,,,,,,0.384,,,2.2,0.23,0.0,,UNSD,UNSD
KN,Y23,0.383,0.383,,,,,,,0.383,,,,,,,,0.383,,,2.2,0.24,0.0,,UNSD,UNSD
KP,Y21,0.271,0.271,,0.277,,,,,0.199,,,0.277,,,,,0.199,,,124.8,9.4,0.0,,UNSD,UNSD
KP,Y22,0.271,0.271,,0.277,,,,,0.199,,,0.277,,,,,0.199,,,130.3,9.8,0.0,,UNSD,UNSD
KP,Y23,0.268,0.268,,0.277,,,,,0.199,,,0.277,,,,,0.199,,,123.4,9.2,0.0,,UNSD,UNSD
KR,Y21,0.471,0.417,0.711,0.386,0.42,,,0.582,0.756,0.463,0.775,0.341,0.42,,,0.505,0.327,0.385,0.107,3865.1,430.02,273.0,,UNSD,UNSD
KR,Y22,0.451,0.392,0.716,0.382,0.374,,,0.541,0.622,0.486,0.775,0.344,0.374,,,0.458,0.269,0.413,0.107,3818.6,405.07,263.4,,UNSD,UNSD
KR,Y23,0.454,0.395,0.703,0.378,0.384,,,0.548,0.837,0.476,0.793,0.336,0.384,,,0.458,0.353,0.409,0.109,3641.5,384.59,269.6,,UNSD,UNSD
KW,Y21,0.39,0.346,,,,,,0.397,0.38,,,,,,,0.397,0.38,,,746.5,80.78,0.0,,REVIEW,UNSD(eta)
KW,Y22,0.403,0.36,,,,,,0.361,0.462,,,,,,,0.361,0.462,,,745.9,83.54,0.0,,REVIEW,UNSD(eta)
KW,Y23,0.372,0.372,,,,,,0.36,0.395,,,,,,,0.36,0.395,,,850.8,88.02,0.0,,REVIEW,UNSD(eta)
KY,Y21,0.402,0.402,,,,,,,0.402,,,,,,,,0.402,,,6.1,0.68,0.0,,UNSD,UNSD
KY,Y22,0.414,0.414,,,,,,,0.414,,,,,,,,0.414,,,6.1,0.7,0.0,,UNSD,UNSD
KY,Y23,0.387,0.387,,,,,,,0.387,,,,,,,,0.387,,,7.0,0.75,0.0,,UNSD,UNSD
KZ,Y21,0.404,0.278,0.496,0.421,,,,0.327,0.654,0.352,,0.175,,,,0.245,0.335,0.013,,1889.2,102.49,393.6,,UNSD,UNSD
KZ,Y22,0.425,0.346,0.376,0.457,,,,0.33,0.366,0.352,,0.194,,,,0.241,0.11,0.014,,1778.3,100.13,394.8,,UNSD,UNSD
KZ,Y23,0.366,0.278,0.344,0.39,,,,0.292,0.422,0.357,,0.16,,,,0.229,0.056,0.006,,2030.7,99.12,386.2,eta_chp_total,UNSD,UNSD
