site,year,eta_total,eta_elec_plants,eta_chp_total,eta_coal,eta_mgas,eta_peat,eta_oilshale,eta_gas,eta_oil,eta_bio,eta_waste,eta_coal_el,eta_mgas_el,eta_peat_el,eta_oilshale_el,eta_gas_el,eta_oil_el,eta_bio_el,eta_waste_el,fuel_in_PJ,elec_out_TWh,heat_out_PJ,flags,step0_decision,arbitrated_decision
PF,Y23,0.393,0.393,,,,,,,0.393,,,,,,,,0.393,,,4.5,0.49,0.0,,UNSD,UNSD
PG,Y21,0.317,0.317,,,,,,0.397,0.287,0.384,,,,,,0.397,0.287,0.384,,37.9,3.34,0.0,,REVIEW,UNSD(eta)
PG,Y22,0.371,0.371,,,,,,0.485,0.326,0.435,,,,,,0.485,0.326,0.435,,38.2,3.94,0.0,,REVIEW,UNSD(eta)
PG,Y23,0.354,0.354,,,,,,0.493,0.297,0.457,,,,,,0.493,0.297,0.457,,40.1,3.95,0.0,,REVIEW,UNSD(eta)
PH,Y21,0.351,0.351,,0.319,,,,0.536,0.327,0.633,0.201,0.319,,,,0.536,0.327,0.633,0.201,863.5,84.17,0.0,,UNSD,UNSD
PH,Y22,0.356,0.356,,0.333,,,,0.537,0.248,0.51,0.144,0.333,,,,0.537,0.248,0.51,0.144,892.4,88.15,0.0,eta_waste,UNSD,UNSD
PH,Y23,0.326,0.326,,0.308,,,,0.513,0.153,0.512,0.143,0.308,,,,0.513,0.153,0.512,0.143,1029.5,93.13,0.0,eta_waste,UNSD,UNSD
PK,Y21,0.247,0.247,,0.195,,,,0.3,0.223,0.3,,0.195,,,,0.3,0.223,0.3,,935.5,64.21,0.0,,EMBER,EMBER
PK,Y22,0.299,0.299,,0.182,,,,0.428,0.336,0.295,,0.182,,,,0.428,0.336,0.295,,788.5,65.44,0.0,,EMBER,EMBER
PK,Y23,0.298,0.298,,0.231,,,,0.374,0.336,0.279,,0.231,,,,0.374,0.336,0.279,,831.1,68.85,0.0,,EMBER,EMBER
PL,Y21,0.428,0.335,0.405,0.397,0.562,,,0.632,0.651,0.585,0.624,0.265,0.225,,,0.398,0.379,0.327,0.242,2030.6,156.28,307.3,,UNSD,UNSD
