site,decision,year,tvd,dtot,unsd_twh,ember_twh,chp_share_of_thermal,autoproducer_share,years_compared
BO,REVIEW,Y23,0.0632,0.0378,12.39,11.94,0.0,0.047,Y21:tvd=0.038;Y22:tvd=0.044;Y23:tvd=0.063
BR,UNSD,Y23,0.0497,0.0509,744.13,708.12,0.543,0.191,Y21:tvd=0.050;Y22:tvd=0.050;Y23:tvd=0.050
BS,UNSD,Y22,0.0052,0.1444,2.35,2.05,0.0,0.043,Y21:tvd=0.001;Y22:tvd=0.005
BT,UNSD,Y23,0.0001,0.0577,10.52,11.16,0.0,0.0,Y21:tvd=0.000;Y22:tvd=0.000;Y23:tvd=0.000
BW,UNSD,Y23,0.0098,0.1949,3.09,2.59,0.0,0.0,Y21:tvd=0.003;Y22:tvd=0.005;Y23:tvd=0.010
BY,UNSD,Y23,0.0313,0.0429,41.71,43.58,0.569,0.078,Y21:tvd=0.001;Y22:tvd=0.049;Y23:tvd=0.031
BZ,EMBER|dtot,Y23,0.2317,0.2538,0.56,0.45,0.418,0.253,Y21:tvd=0.181;Y22:tvd=0.202;Y23:tvd=0.232
CA,UNSD,Y23,0.0126,0.0133,632.89,641.39,0.134,0.1,Y21:tvd=0.009;Y22:tvd=0.009;Y23:tvd=0.013
CD,REVIEW,Y23,0.14,0.1621,13.32,15.9,0.0,0.0,Y21:tvd=0.076;Y22:tvd=0.139;Y23:tvd=0.140
CF,UNSD,Y22,0.0082,0.1097,0.16,0.14,0.0,0.0,Y21:tvd=0.008;Y22:tvd=0.008
CG,REVIEW|dtot,Y23,0.147,0.3264,3.48,5.17,0.0,0.013,Y21:tvd=0.038;Y22:tvd=0.100;Y23:tvd=0.147
CH,UNSD,Y23,0.0347,0.0388,70.08,67.46,0.994,0.148,Y21:tvd=0.018;Y22:tvd=0.018;Y23:tvd=0.035
CI,REVIEW,Y23,0.0656,0.2216,13.6,11.13,0.0,0.018,Y21:tvd=0.029;Y22:tvd=0.039;Y23:tvd=0.066
